clae2,clae2_desc,letra,letra_desc
1,Agricultura,A," AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
1, ganadería,A," AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
1, caza,A," AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
1,servicios relacionados,A," AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
2,Silvicultura,A," AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
2,explotación forestal,A," AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
3,Pesca,A," AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
3,acuicultura,A," AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
5,Extracción de carbón,B,EXPLOTACION DE MINAS Y CANTERAS
5,lignito,B,EXPLOTACION DE MINAS Y CANTERAS
6,Extracción de petróleo crudo,B,EXPLOTACION DE MINAS Y CANTERAS
6,gas natural,B,EXPLOTACION DE MINAS Y CANTERAS
7,Extracción de minerales metálicos,B,EXPLOTACION DE MINAS Y CANTERAS
8,Extracción de otros minerales,B,EXPLOTACION DE MINAS Y CANTERAS
9,Actividades de apoyo al petróleo,B,EXPLOTACION DE MINAS Y CANTERAS
9,la minería,B,EXPLOTACION DE MINAS Y CANTERAS
10,Elaboración de productos alimenticios,C, INDUSTRIA MANUFACTURERA
11,Elaboración de bebidas,C, INDUSTRIA MANUFACTURERA
12,Elaboración de productos de tabaco,C, INDUSTRIA MANUFACTURERA
13,Elaboración de productos textiles,C, INDUSTRIA MANUFACTURERA
14,Elaboración de prendas de vestir,C, INDUSTRIA MANUFACTURERA
15,Elaboración de productos de cuero,C, INDUSTRIA MANUFACTURERA
15,calzado,C, INDUSTRIA MANUFACTURERA
16,Elaboración de productos de madera,C, INDUSTRIA MANUFACTURERA
17,Elaboración de productos de papel,C, INDUSTRIA MANUFACTURERA
18,Imprentas,C, INDUSTRIA MANUFACTURERA
18,editoriales,C, INDUSTRIA MANUFACTURERA
19,Fabricación de productos de refinación de petróleo,C, INDUSTRIA MANUFACTURERA
20,Fabricación de sustancias químicas,C, INDUSTRIA MANUFACTURERA
21,Elaboracion de productos farmacéuticos,C, INDUSTRIA MANUFACTURERA
22,Fabricación de productos de caucho,C, INDUSTRIA MANUFACTURERA
22,plástico,C, INDUSTRIA MANUFACTURERA
23,Fabricación de productos de vidrio,C, INDUSTRIA MANUFACTURERA
23,otros minerales no metálicos,C, INDUSTRIA MANUFACTURERA
24,Fabricación de metales comunes,C, INDUSTRIA MANUFACTURERA
25,Fabricación de productos elaborados del metal,C, INDUSTRIA MANUFACTURERA
25, excepto maquinaria,C, INDUSTRIA MANUFACTURERA
25,equipo,C, INDUSTRIA MANUFACTURERA
26,Fabricación de productos de informática,C, INDUSTRIA MANUFACTURERA
26, de electrónica,C, INDUSTRIA MANUFACTURERA
26,de óptica,C, INDUSTRIA MANUFACTURERA
27,Fabricación de equipo eléctrico,C, INDUSTRIA MANUFACTURERA
28,Fabricación de maquinarias,C, INDUSTRIA MANUFACTURERA
