provincia,departamento,rubro,productos,razón social,establecimiento
BUENOS AIRES,baradero,AGRICULTURA,SOJA,ADD CROPS S.A.,BARADERO 1
BUENOS AIRES,baradero,AGRICULTURA,GIRASOL,ADD CROPS S.A.,BARADERO 2
BUENOS AIRES,baradero,AGRICULTURA,MIJO,ADD CROPS S.A.,BARADERO 2
BUENOS AIRES,baradero,AGRICULTURA,RESIDUO VEGETAL,ADD CROPS S.A.,BARADERO 2
BUENOS AIRES,baradero,AGRICULTURA,MAIZ,ADD CROPS S.A.,EL BUEN RETIRO
BUENOS AIRES,baradero,AGRICULTURA,AVENA,ADD CROPS S.A.,EL BUEN RETIRO
BUENOS AIRES,baradero,AGRICULTURA,CAMPO NATURAL,ADD CROPS S.A.,EL BUEN RETIRO
BUENOS AIRES,azul,AGRICULTURA,SOJA,AGRICOLA EL HORIZONTE S.A.,EL RELINCHO
BUENOS AIRES,azul,AGRICULTURA,ALPISTE,AGRICOLA EL HORIZONTE S.A.,EL RELINCHO
BUENOS AIRES,azul,AGRICULTURA,SOJA,AGRICOLA EL HORIZONTE S.A.,EL HORIZONTE
BUENOS AIRES,azul,AGRICULTURA,ALPISTE,AGRICOLA EL HORIZONTE S.A.,EL HORIZONTE
BUENOS AIRES,azul,AGRICULTURA,TRIGO,AGRICOLA EL HORIZONTE S.A.,EL HORIZONTE
BUENOS AIRES,carmen de patagones,AGRICULTURA,CEREALES,AGRO ROSSI S.H.,DON GISLENO
BUENOS AIRES,carmen de patagones,AGRICULTURA,CEREALES,AGRO ROSSI S.H.,ONELIA
BUENOS AIRES,baradero,FRUTICULTURA/HORTICULTURA,NUEZ PECAN,ALVAREZ ANA MARIA,EL PAMPA ORGANICO
BUENOS AIRES,baradero,FRUTICULTURA/HORTICULTURA,PASTURAS,ALVAREZ ANA MARIA,EL PAMPA ORGANICO
BUENOS AIRES,baradero,FRUTICULTURA/HORTICULTURA,INCULTO,ALVAREZ ANA MARIA,EL PAMPA ORGANICO
BUENOS AIRES,villarino,GANADERIA,GANADERIA BOVINA,ANIJG AGENCY S.A.,EL FORTIN
BUENOS AIRES,mercedes,FRUTICULTURA/HORTICULTURA,ARANDANO,ARBE JUAN LUCAS,NATURAL PAMPA
BUENOS AIRES,los cardales,FRUTICULTURA/HORTICULTURA,ARANDANO,ARGENTINA SPECIALITY S.R.L.,LA MORENITA
BUENOS AIRES,los cardales,FRUTICULTURA/HORTICULTURA,FRAMBUESA,ARGENTINA SPECIALITY S.R.L.,LA MORENITA
BUENOS AIRES,los cardales,FRUTICULTURA/HORTICULTURA,MORA,ARGENTINA SPECIALITY S.R.L.,LA MORENITA
BUENOS AIRES,los cardales,FRUTICULTURA/HORTICULTURA,TOMATE,ARGENTINA SPECIALITY S.R.L.,LA MORENITA
BUENOS AIRES,los cardales,FRUTICULTURA/HORTICULTURA,PIMIENTO,ARGENTINA SPECIALITY S.R.L.,LA MORENITA
BUENOS AIRES,los cardales,FRUTICULTURA/HORTICULTURA,ZAPALLO,ARGENTINA SPECIALITY S.R.L.,LA MORENITA
BUENOS AIRES,los cardales,FRUTICULTURA/HORTICULTURA,INCULTO,ARGENTINA SPECIALITY S.R.L.,LA MORENITA
BUENOS AIRES,san pedro,FRUTICULTURA/HORTICULTURA,ARANDANO,AUTOSOL PARTS S.A.,SAN JOSE
BUENOS AIRES,san pedro,FRUTICULTURA/HORTICULTURA,DESCANSO,AUTOSOL PARTS S.A.,SAN JOSE
BUENOS AIRES,azul,AGRICULTURA,TRIGO,BANDERITAS S.A.,JUAN ALBERTO
BUENOS AIRES,benito juarez,AGRICULTURA,LINO DORADO,BANDERITAS S.A.,SANTA RITA
BUENOS AIRES,benito juarez,AGRICULTURA,TRIGO,BANDERITAS S.A.,LA COLORADA
BUENOS AIRES,benito juarez,AGRICULTURA,TRIGO,BANDERITAS S.A.,LA NELIDA
BUENOS AIRES,25 de mayo,FRUTICULTURA/HORTICULTURA,ARANDANO,BARRETO JORGE JAVIER,LOS ARANDANALES
BUENOS AIRES,25 de mayo,FRUTICULTURA/HORTICULTURA,PASTURAS,BARRETO JORGE JAVIER,LOS ARANDANALES
BUENOS AIRES,san pedro,FRUTICULTURA/HORTICULTURA,ARANDANO,BERRIES PREMIUM SA,BERRIES PREMIUM
BUENOS AIRES,san pedro,FRUTICULTURA/HORTICULTURA,NARANJA,BERRIES PREMIUM SA,BERRIES PREMIUM
BUENOS AIRES,general las heras,GANADERIA,VACAS,BIANCHI FERNANDO LUIS,"""LA JULIA"" Y ""LA JULITA"""
BUENOS AIRES,general las heras,GANADERIA,VAQUILLONAS,BIANCHI FERNANDO LUIS,"""LA JULIA"" Y ""LA JULITA"""
BUENOS AIRES,general las heras,GANADERIA,NOVILLOS,BIANCHI FERNANDO LUIS,"""LA JULIA"" Y ""LA JULITA"""
BUENOS AIRES,general las heras,GANADERIA,TOROS,BIANCHI FERNANDO LUIS,"""LA JULIA"" Y ""LA JULITA"""
BUENOS AIRES,general las heras,GANADERIA,TERNERAS,BIANCHI FERNANDO LUIS,"""LA JULIA"" Y ""LA JULITA"""
BUENOS AIRES,coronel dorrego,AGRICULTURA,OLIVO,BIOLIVE S.A.,EL PIAL
BUENOS AIRES,zarate,FRUTICULTURA/HORTICULTURA,REPOLLO,BORCHARDT FRANCISCO,ORGANIC ORCHARD
BUENOS AIRES,zarate,FRUTICULTURA/HORTICULTURA,ACELGA,BORCHARDT FRANCISCO,ORGANIC ORCHARD
BUENOS AIRES,zarate,FRUTICULTURA/HORTICULTURA,BROCOLI,BORCHARDT FRANCISCO,ORGANIC ORCHARD
BUENOS AIRES,zarate,FRUTICULTURA/HORTICULTURA,HINOJO,BORCHARDT FRANCISCO,ORGANIC ORCHARD
BUENOS AIRES,zarate,FRUTICULTURA/HORTICULTURA,HABAS,BORCHARDT FRANCISCO,ORGANIC ORCHARD
BUENOS AIRES,zarate,FRUTICULTURA/HORTICULTURA,ESPINACA,BORCHARDT FRANCISCO,ORGANIC ORCHARD
BUENOS AIRES,zarate,FRUTICULTURA/HORTICULTURA,COLIFLOR,BORCHARDT FRANCISCO,ORGANIC ORCHARD
BUENOS AIRES,zarate,FRUTICULTURA/HORTICULTURA,LECHUGA,BORCHARDT FRANCISCO,ORGANIC ORCHARD
BUENOS AIRES,zarate,FRUTICULTURA/HORTICULTURA,CEBOLLA DE VERDEO,BORCHARDT FRANCISCO,ORGANIC ORCHARD
BUENOS AIRES,zarate,FRUTICULTURA/HORTICULTURA,MANZANA,BORCHARDT FRANCISCO,ORGANIC ORCHARD
BUENOS AIRES,zarate,FRUTICULTURA/HORTICULTURA,HIGOS,BORCHARDT FRANCISCO,ORGANIC ORCHARD
BUENOS AIRES,zarate,FRUTICULTURA/HORTICULTURA,CIRUELA,BORCHARDT FRANCISCO,ORGANIC ORCHARD
BUENOS AIRES,zarate,FRUTICULTURA/HORTICULTURA,PERA,BORCHARDT FRANCISCO,ORGANIC ORCHARD
BUENOS AIRES,zarate,FRUTICULTURA/HORTICULTURA,DURAZNO,BORCHARDT FRANCISCO,ORGANIC ORCHARD
BUENOS AIRES,zarate,FRUTICULTURA/HORTICULTURA,MANDARINA,BORCHARDT FRANCISCO,ORGANIC ORCHARD
BUENOS AIRES,zarate,FRUTICULTURA/HORTICULTURA,POMELO,BORCHARDT FRANCISCO,ORGANIC ORCHARD
BUENOS AIRES,zarate,FRUTICULTURA/HORTICULTURA,FORESTALES,BORCHARDT FRANCISCO,ORGANIC ORCHARD
BUENOS AIRES,san pedro,FRUTICULTURA/HORTICULTURA,ARANDANO,BUENA TIERRA SRL.,SANTA LUCIA
BUENOS AIRES,san pedro,FRUTICULTURA/HORTICULTURA,MORA,BUENA TIERRA SRL.,SANTA LUCIA
BUENOS AIRES,san pedro,FRUTICULTURA/HORTICULTURA,CIRUELA,BUENA TIERRA SRL.,SANTA LUCIA
BUENOS AIRES,san pedro,FRUTICULTURA/HORTICULTURA,DURAZNO,BUENA TIERRA SRL.,SANTA LUCIA
BUENOS AIRES,lujan,AGRICULTURA,ARANDANOS,CHACRA RUMFE SRL,CHACRA RUMFE
BUENOS AIRES,la plata,HORTICULTURA,HORTALIZAS,CIDEL ORGANICA S.R.L.,QUINTA 462
BUENOS AIRES,la plata,HORTICULTURA,HORTICULTURA: HORTALIZAS DE RAIZ,CIDEL ORGANICA SRL,LA ANUNCIACION QUINTA 2
BUENOS AIRES,la plata,HORTICULTURA,HOJA,CIDEL ORGANICA SRL,LA ANUNCIACION QUINTA 2
BUENOS AIRES,cañuelas,GANADERIA,HUEVOS,COOPERATIVA GRANJERA ENTRERIANA DE CHACRAS ORGANICAS LTDA.,EL SEÑUELO
BUENOS AIRES,carmen de patagones,AGRICULTURA,AVENA,"CORDOBA, MIGUEL ANGEL",EL 48
BUENOS AIRES,carmen de patagones,AGRICULTURA,TRIGO,"CORDOBA, MIGUEL ANGEL",EL 48
BUENOS AIRES,general pueyrredon,FRUTICULTURA,KIWI,COSUFRUTOS SA,PUENTE VIEJO
BUENOS AIRES,carmen de patagones,AGRICULTURA,CEREALES,DON ALEJO SA,LAUQUEN
BUENOS AIRES,carmen de patagones,AGRICULTURA,CEREALES,DON ALEJO SA,LA TAPERA
BUENOS AIRES,coronel pringles,AGRICULTURA,TRIGO,DON JACINTO SAAYC,PILLAHUINCO
BUENOS AIRES,coronel pringles,AGRICULTURA,CENTENO,DON JACINTO SAAYC,PILLAHUINCO
BUENOS AIRES,coronel pringles,AGRICULTURA,AVENA,DON JACINTO SAAYC,PILLAHUINCO
